,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
1019,Simalia amethistina,reptilia,squamata,pythonidae,1,0,20,300,10,0,1,1,1,105.1130435,13,9.714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
1020,Ctenosaura similis,reptilia,squamata,iguanidae,1,0,4,50,7.013792857,1,0,2,1,90,30,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1021,Pseudopus apodus,reptilia,squamata,anguidae,1,0,50,135,7.013792857,0,0,1,1,50,8,9.714285714,0,0,1,1,0,0,0,0,0,0,0,1,1
1022,Eryx jayakari,reptilia,squamata,boidae,1,0,25,38,7.013792857,0,1,1,1,66,5.5,9.714285714,0,0,1,0,0,0,0,0,0,1,0,0,1
1023,Varanus salvadorii ,reptilia,squamata,varanidae,1,0,16,150,20,0,0,1,1,195,8,9.714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
1024,Eryx johnii ,reptilia,squamata,boidae,1,0,17,61,7.013792857,0,0,1,1,105.1130435,14,9.714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
1025,Dipsosaurus dorsalis,reptilia,squamata,iguanidae,1,0,10.5,61,0.069,0,0,2,1,105.1130435,5.5,9.714285714,0,0,0,0,0,0,0,0,0,1,0,0,1
1026,Oxybelis fulgidus,reptilia,squamata,colubridae,1,0,12,150,7.013792857,0,0,1,1,100,8,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1027,Carettochelys insculpta,reptilia,testudines,carettochelyidae,0,1,27.5,70,31.17440741,1,1,0,1,86,16.5,196.8043256,0,0,0,0,1,0,0,0,0,0,0,0,1
1028,Dendroaspis viridis,reptilia,squamata,elapidae,1,0,18,150,7.013792857,0,1,1,1,77,14,9.714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
1029,Varanus varius,reptilia,squamata,varanidae,1,0,20,200,14,0,0,1,1,195,10,9.714285714,0,0,0,0,1,0,0,0,0,0,0,1,1
1030,Trimeresurus albolabris,reptilia,squamata,viperidae,1,0,10,705,7.013792857,0,1,1,1,143,15,9.714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
1031,Regina septemvittata,reptilia,squamata,colubridae,1,0,19,61,7.013792857,0,0,1,1,105,12.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1032,Trachemys scripta,reptilia,testudines,emydidae,1,0,35,19.5,0.003,1,0,0,1,75,13,196.8043256,0,0,0,0,0,0,0,0,0,0,0,1,0
1033,Lampropeltis holbrooki,reptilia,squamata,colubridae,1,0,20,120,7.013792857,0,1,1,1,105.1130435,14.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1034,Plestiodon skiltonianus,reptilia,squamata,scincidae,1,0,10,155,7.013792857,0,0,0,1,105.1130435,4,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1035,Crotaphytus collaris,reptilia,squamata,crotaphytidae,1,0,6.5,29,7.013792857,0,0,0,1,75,7,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
1036,Phrynosoma platyrhinos,reptilia,squamata,phrynosomatidae,1,0,6.5,95,7.013792857,0,1,0,1,55,9,9.714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
1037,Bothrops atrox,reptilia,squamata,viperidae,1,0,8,100,7.013792857,0,1,1,1,105,70,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1038,Lacerta agilis,reptilia,squamata,lacertidae,0,0,6.5,16.5,0.0125,0,0,0,1,52.5,10,9.714285714,0,0,1,1,0,0,0,0,0,0,0,1,0
1039,Boa imperator,reptilia,squamata,boidae,1,0,30,112.4468085,6,0,1,1,1,110,37.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1040,Terrapene carolina,reptilia,testudines,emydidae,0,1,138,13,31.17440741,1,0,0,1,75,6,196.8043256,0,0,0,0,0,0,0,0,0,0,0,1,1
1041,Thamnophis marcianus,reptilia,squamata,colubridae,1,0,8.5,76.5,0.0765,0,0,1,1,92.5,20.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
1042,Sternotherus odoratus,reptilia,testudines,kinosternidae,1,0,50,9.5,0.603,0,1,1,1,125,5.5,196.8043256,0,0,0,0,0,0,0,0,0,0,0,1,0
1043,Lampropeltis calligaster,reptilia,squamata,colubridae,1,0,19,89,7.013792857,0,1,1,1,63,11.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1044,Tetracheilostoma carlae,reptilia,squamata,leptotyphlopidae,1,1,15.40492958,10,7.013792857,0,1,1,1,105.1130435,1,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1045,Clemmys guttata,reptilia,testudines,emydidae,0,1,38,7.5,31.17440741,0,0,0,1,77,5,196.8043256,0,0,0,0,0,0,0,0,0,0,0,1,0
1046,Nerodia taxispilota,reptilia,squamata,colubridae,1,0,6,114,7.013792857,0,0,1,1,105.1130435,35,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1047,Lampropeltis zonata,reptilia,squamata,colubridae,0,0,15,86.5,7.013792857,0,0,1,1,68.5,6,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1048,Plestiodon laticeps,reptilia,squamata,scincidae,1,0,6,24,7.013792857,0,0,0,1,105.1130435,15,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1049,Crotalus durissus,reptilia,squamata,viperidae,1,0,15,100,7.013792857,0,0,1,1,105.1130435,9,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1050,Nerodia fasciata,reptilia,squamata,colubridae,1,0,7.5,84,0.18,0,1,1,1,79,29.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1051,Elgaria coerulea,reptilia,squamata,anguidae,1,0,6.5,27,7.013792857,1,0,0,1,105.1130435,8,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1052,Podarcis muralis,reptilia,squamata,lacertidae,1,0,8.5,20,7.013792857,0,0,0,1,59.5,6.5,9.714285714,0,0,1,1,0,0,0,0,0,0,0,1,0
1053,Bothrops jararaca,reptilia,squamata,viperidae,1,0,15,160,7.013792857,0,1,1,1,270,12,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1054,Coronella austriaca,reptilia,squamata,colubridae,0,0,30,67.5,7.013792857,0,0,1,1,105.1130435,9.5,9.714285714,0,0,1,1,0,0,0,0,0,0,0,1,0
1055,Podarcis siculus ,reptilia,squamata,lacertidae,2,0,15.40492958,9,7.013792857,0,0,1,1,42,6.5,9.714285714,0,0,0,1,0,0,0,0,0,0,0,1,0
1056,Thamnophis elegans,reptilia,squamata,colubridae,1,0,7,75,0.15,0,0,1,1,105.1130435,10,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1057,Glyptemys muhlenbergii,reptilia,testudines,emydidae,1,1,35,9.5,0.11,1,0,0,1,61,3.5,196.8043256,0,0,0,0,0,0,0,0,0,0,0,1,0
1058,Graptemys geographica,reptilia,testudines,emydidae,1,0,17.5,18.5,0.076,0,0,1,1,60,13,196.8043256,0,0,0,0,0,0,0,0,0,0,0,1,0
1059,Protobothrops flavoviridis,reptilia,squamata,viperidae,0,0,15.40492958,180,7.013792857,0,1,1,1,38.5,9.5,9.714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
1060,Eolophus roseicapilla,aves,psittaciformes,cacatuidae,2,0,40,35,0.31,1,0,2,0,28,3.5,49,0,0,0,0,1,0,0,0,0,1,0,1,1
1061,Turdus merula,aves,passeriformes,turdidae,2,0,11.5,26,0.1025,1,0,0,0,13,3.5,31.5,1,0,1,1,1,0,0,0,1,1,0,1,0
1062,Alopochen aegyptiacus,aves,anseriformes,anatidae,0,0,20,68,2.5,1,0,2,0,29,8,120,1,0,1,1,0,0,0,0,0,1,0,1,1
1063,Grus antigone,aves,gruiformes,gruidae,0,1,35,75.15384615,6.5,1,0,0,0,32.5,2,92.5,0,0,1,0,1,0,0,0,0,0,0,1,1
1064,Cyanopsitta spixii,aves,psittaciformes,psittacidae,1,1,33,56,0.303,1,0,2,0,26.5,4.5,150,0,0,0,0,0,0,0,0,0,1,0,0,1
1065,Spilopelia chinensis,aves,columbiformes,columbidae,2,0,8,30,0.16,1,0,2,0,15,1.5,14,1,0,1,0,1,0,0,0,0,0,0,1,1
1066,Gyps fulvus,aves,accipitriformes,accipitridae,2,0,41,107.5,8.5,0,0,1,0,56,1,120,1,0,1,1,0,0,0,0,1,1,0,1,0
1067,Corvus splendens,aves,passeriformes,corvidae,1,0,6,43,0.3,1,0,0,0,16,4,24.5,1,0,1,1,0,0,0,0,0,0,0,1,1
1068,Ara macao,aves,psittaciformes,psittacidae,0,0,45,81,1,1,0,2,0,24.5,3,547.5,0,0,0,0,0,0,0,0,0,0,0,0,1
1069,Aptenodytes forsteri,aves,sphenisciformes,spheniscidae,1,0,20,82.5,33.5,1,1,1,0,63,1,150,0,1,0,0,0,0,0,0,0,0,1,0,0
1070,Leucogeranus leucogeranus,aves,gruiformes,gruidae,0,1,22.5,121,6,1,0,0,0,29,2,72.5,0,0,1,0,0,0,0,0,1,0,1,0,0
1071,Grus paradisea,aves,gruiformes,gruidae,1,1,25,75.15384615,4.5,1,0,0,0,31.5,2,120,1,0,0,0,0,0,0,0,0,1,0,1,0
1072,Haliaeetus leucocephalus,aves,accipitriformes,accipitridae,2,0,32,86,4.5,0,0,1,0,35,2,135,0,0,1,1,0,0,0,0,1,1,1,1,0
1073,Cacatua alba,aves,psittaciformes,cacatuidae,0,1,35,46,0.6,1,0,2,0,30,2.5,105,0,0,1,0,0,0,0,0,0,0,0,0,1
1074,Ardea cinerea,aves,pelecaniformes,ardeidae,1,0,17.5,84.04166667,1.5,0,0,1,0,25.5,5.5,50,1,0,1,1,1,0,0,0,1,0,0,1,1
1075,Eudyptula minor,aves,sphenisciformes,spheniscidae,1,0,15,82.5,2,1,1,1,0,35.5,1.5,67.5,0,0,0,0,1,0,0,0,0,0,0,1,0
1076,Cygnus atratus,aves,anseriformes,anatidae,1,0,40,126,6,1,0,2,0,41.5,5.5,270,0,0,0,0,1,0,0,0,0,1,0,1,1
1077,Cacatua sulphurea,aves,psittaciformes,cacatuidae,0,1,48,33,0.344,1,0,2,0,28,2,75,0,0,1,0,0,0,0,0,0,0,0,1,1
1078,Pinguinus impennis,aves,charadriiformes,alcidae,1,1,22.5,34.78378378,6.5,1,0,1,0,41.5,1,17.5,0,0,0,1,0,0,0,0,1,0,1,0,0
1079,Anodorhynchus hyacinthinus,aves,psittaciformes,psittacidae,0,1,50,100,1,1,0,2,0,30,1.5,180,0,0,0,0,0,0,0,0,0,0,0,0,1
1080,Corvus albus,aves,passeriformes,corvidae,1,0,13,49,0.52,1,0,0,0,18.5,4.5,40,1,0,1,0,0,0,0,0,0,1,0,1,1
1081,Ara ararauna,aves,psittaciformes,psittacidae,0,0,55,48.33333333,0.4505,1,0,2,0,26,2.5,90,0,0,0,0,0,0,0,0,0,0,0,0,1
1082,Alcedo atthis,aves,coraciiformes,alcedinidae,1,0,14,16.5,0.0375,0,0,1,0,20,6.5,23.5,1,0,1,1,1,0,0,0,1,1,0,1,1
