,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
1084,Lampropeltis calligaster,reptilia,squamata,colubridae,1.0,0.0,19.0,89.0,,0,1,1.0,,63.0,11.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1085,Tetracheilostoma carlae,reptilia,squamata,leptotyphlopidae,,1.0,,10.0,,0,1,1.0,,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
1086,Clemmys guttata,reptilia,testudines,emydidae,0.0,1.0,38.0,7.5,,0,0,0.0,,77.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1087,Nerodia taxispilota,reptilia,squamata,colubridae,1.0,0.0,6.0,114.0,,0,0,1.0,1.0,,35.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1088,Lampropeltis zonata,reptilia,squamata,colubridae,0.0,0.0,15.0,86.5,,0,0,1.0,,68.5,6.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1089,Plestiodon laticeps,reptilia,squamata,scincidae,1.0,0.0,6.0,24.0,,0,0,0.0,1.0,,15.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1090,Crotalus durissus,reptilia,squamata,viperidae,,0.0,15.0,100.0,,0,0,1.0,,,9.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
1091,Nerodia fasciata,reptilia,squamata,colubridae,1.0,0.0,7.5,84.0,0.18,0,1,1.0,,79.0,29.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1092,Elgaria coerulea,reptilia,squamata,anguidae,1.0,0.0,6.5,27.0,,1,0,0.0,,,8.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1093,Podarcis muralis,reptilia,squamata,lacertidae,1.0,0.0,8.5,20.0,,0,0,0.0,,59.5,6.5,,0,0,1,1,0,0,0,0,0,0,0,1,0
1094,Bothrops jararaca,reptilia,squamata,viperidae,,0.0,15.0,160.0,,0,1,1.0,1.0,270.0,12.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
